thread_id,neutral,oppose,support,w_total,support_rate,oppose_rate,neutral_rate,controversy,resonance
UgwHFwKIQybd1p_Vuoh4AaABAg,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UgwHGUdAOEp6fU3UNMR4AaABAg,50.0,3.0,0.0,53.0,0.0,0.05660377358383767,0.9433962263972945,0.9433962264161624,0.0
UgwHJEDD5OEFRJ_0pR94AaABAg,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UgwHKEPDK2jUhL1q4cd4AaABAg,79.0,15.0,0.0,94.0,0.0,0.15957446808340878,0.8404255319059529,0.8404255319165912,0.0
UgwHNmRy8SENzazu2WR4AaABAg,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UgwHS9WC-uvzGDZ6CZt4AaABAg,8.0,0.0,0.0,8.0,0.0,0.0,0.999999999875,1.0,0.0
UgwHUDBT1IEfoIT2Gml4AaABAg,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UgwHUu5tm258iw_2s-J4AaABAg,131.0,32.0,4.0,167.0,0.023952095808239808,0.19161676646591846,0.7844311377198537,0.8323353293423214,0.023952095808239808
UgwHyfTUPHGI-RztxUJ4AaABAg,518.0,584.0,15.0,1117.0,0.013428827215744468,0.522829006266318,0.4637421665170423,0.49059982094942645,0.013428827215744468
UgwHzcw1hNthyM5r7Rx4AaABAg,4.0,0.0,0.0,4.0,0.0,0.0,0.99999999975,1.0,0.0
UgwI-QKY8y4oC-vYDvt4AaABAg,7.0,0.0,0.0,7.0,0.0,0.0,0.9999999998571428,1.0,0.0
UgwI0uRqBvjrLVj4ie54AaABAg,0.0,1.0,0.0,1.0,0.0,0.9999999989999999,0.0,1.000000082740371e-09,0.0
UgwI1qA4n5om4AQBeL94AaABAg,9.0,2.0,1.0,12.0,0.08333333332638888,0.16666666665277777,0.7499999999375,0.9166666666736111,0.08333333332638888
UgwI6NG8Ll5y_cwZfux4AaABAg,15.0,0.0,0.0,15.0,0.0,0.0,0.9999999999333333,1.0,0.0
UgwI6y8iUsQzJ6xLRz14AaABAg,3.0,0.0,0.0,3.0,0.0,0.0,0.9999999996666666,1.0,0.0
UgwI9uSG6HYj3a1E87R4AaABAg,8.0,0.0,0.0,8.0,0.0,0.0,0.999999999875,1.0,0.0
UgwIH2I9uoOMpWl3RIF4AaABAg,12.0,0.0,0.0,12.0,0.0,0.0,0.9999999999166667,1.0,0.0
UgwIKFdeWpd9qDSdrxd4AaABAg,5.0,0.0,0.0,5.0,0.0,0.0,0.9999999998,1.0,0.0
UgwINmep8YiAf_4lZqd4AaABAg,2.0,0.0,0.0,2.0,0.0,0.0,0.9999999995,1.0,0.0
UgwIcj-GsKnM9MX3aO94AaABAg,6.0,1.0,1.0,8.0,0.124999999984375,0.124999999984375,0.74999999990625,1.0,0.124999999984375
UgwIeqTwfDqlFftOY-R4AaABAg,1.0,1.0,0.0,2.0,0.0,0.49999999975,0.49999999975,0.50000000025,0.0
UgwIi6hvrWpmTY8_ykF4AaABAg,3.0,1.0,0.0,4.0,0.0,0.2499999999375,0.7499999998125,0.7500000000625,0.0
UgwIirbgSE8LoWAwuCt4AaABAg,0.0,2.0,0.0,2.0,0.0,0.9999999995,0.0,5.000000413701855e-10,0.0
UgwIlKQS6gaXE-fiRUd4AaABAg,51.0,14.0,0.0,65.0,0.0,0.21538461538130177,0.7846153846033136,0.7846153846186983,0.0
UgwIuqP_c1yWWIsZHWV4AaABAg,6.0,0.0,0.0,6.0,0.0,0.0,0.9999999998333333,1.0,0.0
UgwIwkd-SpHAlj7EaLt4AaABAg,2.0,0.0,0.0,2.0,0.0,0.0,0.9999999995,1.0,0.0
UgwJ5XIygnTkNivMIbV4AaABAg,14.0,2.0,0.0,16.0,0.0,0.1249999999921875,0.8749999999453125,0.8750000000078125,0.0
UgwJ6g1ZpjoackjwaVl4AaABAg,7.0,1.0,2.0,10.0,0.19999999998,0.09999999999,0.69999999993,0.90000000001,0.19999999998
UgwJBthM3xGq7mqyRlZ4AaABAg,8.0,0.0,0.0,8.0,0.0,0.0,0.999999999875,1.0,0.0
UgwJC4Nkt45ulMZlQg14AaABAg,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UgwJM5U5cSXW1JrfYwN4AaABAg,8.0,0.0,0.0,8.0,0.0,0.0,0.999999999875,1.0,0.0
UgwJPzVAhmYdgbu0gut4AaABAg,245.0,2.0,6.0,253.0,0.02371541501966911,0.007905138339889704,0.9683794466364887,0.9841897233202206,0.02371541501966911
UgwJRnZ5qeHmVayr8FJ4AaABAg,8.0,0.0,0.0,8.0,0.0,0.0,0.999999999875,1.0,0.0
UgwJUEW_ipSCDOw-nAF4AaABAg,2.0,0.0,0.0,2.0,0.0,0.0,0.9999999995,1.0,0.0
UgwJ_1uGAcK8lBNwc8J4AaABAg,18.0,3.0,0.0,21.0,0.0,0.14285714285034012,0.8571428571020409,0.8571428571496599,0.0
UgwJiLYpgKXDynMc_EB4AaABAg,11.0,0.0,0.0,11.0,0.0,0.0,0.9999999999090909,1.0,0.0
UgwJt1GGKTZ5-7CfTwx4AaABAg,35.0,20.0,0.0,55.0,0.0,0.3636363636297521,0.6363636363520662,0.6363636363702478,0.0
UgwJw0HfU4gw-OY8rFp4AaABAg,9.0,4.0,0.0,13.0,0.0,0.30769230766863903,0.6923076922544379,0.6923076923313609,0.0
UgwJwGbW4neesWK-JeR4AaABAg,0.0,1.0,0.0,1.0,0.0,0.9999999989999999,0.0,1.000000082740371e-09,0.0
UgwK-vQZwhJc99SUoKB4AaABAg,58.0,0.0,0.0,58.0,0.0,0.0,0.9999999999827587,1.0,0.0
UgwK8h69Kfx23ybf46R4AaABAg,45.0,5.0,0.0,50.0,0.0,0.09999999999800001,0.8999999999820001,0.900000000002,0.0
UgwKSS20LCjZhfVhh-p4AaABAg,120.0,56.0,0.0,176.0,0.0,0.31818181818001035,0.6818181818143079,0.6818181818199897,0.0
UgwKiztKNE_703r8CcZ4AaABAg,4.0,10.0,0.0,14.0,0.0,0.7142857142346939,0.2857142856938775,0.2857142857653061,0.0
UgwKv8Ra9IdMhsqZtgp4AaABAg,18.0,0.0,3.0,21.0,0.14285714285034012,0.0,0.8571428571020409,0.8571428571496599,0.14285714285034012
UgwKxNRecLf9HXRcMux4AaABAg,1.0,2.0,0.0,3.0,0.0,0.6666666664444444,0.3333333332222222,0.3333333335555556,0.0
UgwL-5BEbgmXxvRbR014AaABAg,0.0,1.0,0.0,1.0,0.0,0.9999999989999999,0.0,1.000000082740371e-09,0.0
UgwL-i_biEJTUIYYz5N4AaABAg,48.0,1.0,0.0,49.0,0.0,0.02040816326488963,0.9795918367147023,0.9795918367351104,0.0
UgwL3HfvU0KCoBcLcat4AaABAg,4.0,0.0,0.0,4.0,0.0,0.0,0.99999999975,1.0,0.0
UgwL3R_QygS3xnnC9uZ4AaABAg,13.0,5.0,0.0,18.0,0.0,0.2777777777623457,0.7222222221820987,0.7222222222376543,0.0
UgwL5lwkmxeDZjpOjpR4AaABAg,159.0,0.0,0.0,159.0,0.0,0.0,0.9999999999937108,1.0,0.0
UgwL8wCoB0RWqnSLb9F4AaABAg,1.0,9.0,0.0,10.0,0.0,0.89999999991,0.09999999999,0.10000000008999999,0.0
UgwLCdZ3ed5fayyi_aZ4AaABAg,1537.0,400.0,90.0,2027.0,0.04440059200787153,0.19733596447942905,0.7582634435122061,0.8470646275284425,0.04440059200787153
